prev_log,curr_log,next_log,label
Disarmed by landing,Connection to ground station lost,Preflight Fail: No connection to the ground control station,0
"closed logfile, bytes written: 5069382",Armed by external command,Start file log (type: full),0
data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
u-blox firmware version: SPG 5.10,u-blox protocol version: 34.10,u-blox firmware version: SPG 5.10,0
Preflight: GPS Horizontal Pos Drift too high,Preflight: GPS Horizontal Pos Drift too high,Preflight: GPS Horizontal Pos Drift too high,0
"successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 271","successfully created rt/fmu/out/vehicle_status_v1 data writer, topic id: 276",time sync converged,0
"No response from 7, flagging unresponsive","No response from 5, flagging unresponsive",Armed by external command,0
ms5611: no instance started (no device on bus?),Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 3407898",0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B","mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550",Starting CDC/ACM autostart,0
"Node ID 1, bitrate 1000000",u-blox protocol version: 34.10,u-blox firmware version: SPG 5.10,0
GPS reports spoofing indicated,GPS spoofing detected! (state: 2),GPS reports spoofing indicated,0
Mixer: /etc/mixers/trhl5.aux.mix on /dev/pwm_output1,failed setting PWM rate on IO,PWM_SERVO_SET_SELECT_UPDATE_RATE,1
failed setting PWM rate on IO,PWM_SERVO_SET_SELECT_UPDATE_RATE,new Tiltrotorheli 对象成功,1
PWM_SERVO_SET_SELECT_UPDATE_RATE,new Tiltrotorheli 对象成功,MulticopterRateControl vtol 模式启动,0
new Tiltrotorheli 对象成功,MulticopterRateControl vtol 模式启动,MulticopterAttitudeControl vtol 模式启动,0
MulticopterRateControl vtol 模式启动,MulticopterAttitudeControl vtol 模式启动,执行 FwAutotuneAttitudeControl::init() 程序,0
MulticopterAttitudeControl vtol 模式启动,执行 FwAutotuneAttitudeControl::init() 程序,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 460800B",0
[cal] progress <73>,[cal] progress <76>,[cal] Offset of 65 Pascal,0
ms5611: no instance started (no device on bus?),"no gyro selected, using sensor_gyro_fifo:0 3407898","mode: Normal, data rate: 2880 B/s on udp port 14556 remote port 14550 target ip: 192.168.144.20",0
Starting CDC/ACM autostart,logger started (mode=all),"Node ID 1, bitrate 1000000",0
Preflight Fail: No connection to the ground control station,GNSS Fix2 msg detected for ch 0; disabling Fix msg for this node,Mission rejected: the landing glide slope is steeper than the vehicle setting of 7.0 degre,0
Preflight Fail: Yaw estimate error,RTT too high for timesync: 124639 ms,Arming denied: Resolve system health failures first,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-04/07_56_45.ulg,Opened full log file: /fs/microsd/log/2025-08-04/07_56_45.ulg,0
Disarmed by landing,"1 (8944899) EST:0 offset: [0.332, -0.324, 0.222]->[0.335, -0.319, 0.222] (full [0.517, 0.156, 0.1","closed logfile, bytes written: 1416387",0
Disarmed by external command,"1 (8944899) EST:0 offset: [-0.014, -0.012, -0.959]->[-0.037, -0.027, -0.959] (full [-0.262, -0.22",Preflight Fail: Yaw estimate error,0
[logger] /fs/microsd/log/2025-07-20/06_15_32.ulg,Opened full log file: /fs/microsd/log/2025-07-20/06_15_32.ulg,Executing Mission,0
Disarmed by external command,ACC 0 (3407906) offset committed: [0.077 -0.031 -0.015]->[0.043 0.011 -0.025]),"closed logfile, bytes written: 386837",0
Armed by external command,Start file log (type: full),[logger] /fs/microsd/log/2025-07-20/06_16_36.ulg,0
Preflight Fail: Yaw estimate error,Armed by external command,Start file log (type: full),0
Preflight Fail: Yaw estimate error,Armed by external command,Start file log (type: full),0
Takeoff detected,Compass needs calibration - Land now!,Preflight Fail: Compass 1 fault,0
Opened full log file: /fs/microsd/log/2025-07-20/06_23_50.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/12_50_35.ulg,Opened full log file: /fs/microsd/log/2025-08-07/12_50_35.ulg,0
"[cal] Hold still, measuring up side",[cal] up side result: [-1.183 0.179 9.688],[cal] progress <85>,0
[cal] back orientation detected,"[cal] Hold still, measuring back side",[cal] back side result: [9.642 0.871 -1.508],0
"[cal] Hold still, measuring back side",[cal] back side result: [9.642 0.871 -1.508],[cal] progress <102>,0
[cal] progress <15>,[cal] progress <19>,[cal] progress <23>,0
Armed by external command,Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/11_27_55.ulg,0
[cal] front orientation detected,[cal] front orientation detected,"[cal] Hold still, measuring front side",0
"[cal] Hold still, measuring right side",[cal] right side result: [-0.137 -9.760 0.717],[cal] progress <51>,0
[cal] left orientation detected,[cal] left orientation detected,"[cal] Hold still, measuring left side",0
"[cal] left side done, rotate to a different side",[cal] pending: back up,[cal] hold vehicle still on a pending side,0
"[cal] up side done, rotate to a different side",[cal] pending: back,[cal] hold vehicle still on a pending side,0
[logger] /fs/microsd/log/2025-08-07/11_13_28.ulg,Opened full log file: /fs/microsd/log/2025-08-07/11_13_28.ulg,selected parameter default file /fs/mtd_params,0
Session was closed without activity,FTP: Open failed - out of sessions,Session was closed without activity,1
Session was closed without activity,Armed by external command,Start file log (type: full),0
data manager file '/fs/microsd/dataman' size is 68528 bytes,"init failed, vehicle_attitude already advertised",Task start failed (-1),1
Opened full log file: /fs/microsd/log/2025-08-07/12_43_10.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
"BSON document size 1977 bytes, decoded 1977 bytes (INT32:47, FLOAT:52)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
"Node ID 1, bitrate 1000000",Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),"mode: Onboard, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",0
data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,"Found address 0x45, running 'ina228 -X -b 1 -t 1 start'",0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B","mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550",init serial /dev/ttyS4 @ 921600 baud,0
Preflight Fail: position estimate error,Kill engaged,Preflight Fail: Kill switch engaged,0
ACC 1 (3407890) offset committed: [-0.142 0.039 -0.032]->[-0.055 -0.011 -0.032]),"0 (4395041) EST:0 offset: [-0.021, 0.029, -0.086]->[-0.021, 0.023, -0.085] (full [-0.015, -0.094,","closed logfile, bytes written: 6767369",0
init serial /dev/ttyS4 @ 921600 baud,Starting CDC/ACM autostart,no broadcasting address found,0
"successfully created rt/fmu/out/vehicle_control_mode data writer, topic id: 249","successfully created rt/fmu/out/vehicle_command_ack data writer, topic id: 246","successfully created rt/fmu/out/vehicle_local_position data writer, topic id: 256",0
Disarmed by RC (switch),"closed logfile, bytes written: 986844",GCS connection regained,0
[logger] /fs/microsd/log/2025-08-01/05_06_34.ulg,Opened full log file: /fs/microsd/log/2025-08-01/05_06_34.ulg,Takeoff detected,0
"closed logfile, bytes written: 1830457",GCS connection regained,Preflight Fail: CPU load too high: 99.7%,0
Disarmed by RC (switch),"closed logfile, bytes written: 1137344",GCS connection regained,0
ms5611: no instance started (no device on bus?),status: 0 status: 0,Already running on bus 1,1
u-blox firmware version: HPG 1.32,u-blox protocol version: 27.31,u-blox module: ZED-F9P,0
Opened full log file: /fs/microsd/log/2025-08-07/10_21_37.ulg,ubx msg 0x0a09 invalid len 56,Takeoff detected,0
Opened full log file: /fs/microsd/log/2025-08-07/12_14_11.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
[logger] /fs/microsd/log/2025-08-07/10_28_05.ulg,Opened full log file: /fs/microsd/log/2025-08-07/10_28_05.ulg,ubx msg 0x0a09 invalid len 56,0
Preflight Fail: Flight termination active,"Accel 1 clipping, not safe to fly!","closed logfile, bytes written: 2016729",0
Starting CDC/ACM autostart,no broadcasting address found,logger started (mode=all),0
Starting CDC/ACM autostart,no broadcasting address found,logger started (mode=all),0
Preflight: GPS PDOP too high,Preflight: GPS Horizontal Pos Error too high,Preflight: GPS Horizontal Pos Drift too high,0
Preflight: GPS Speed Accuracy too low,Armed by RC (switch),Start file log (type: full),0
Opened full log file: /fs/microsd/log/2025-08-07/12_22_19.ulg,Takeoff detected,Disarmed by RC (switch),0
Takeoff detected,Disarmed by RC (switch),"closed logfile, bytes written: 3461786",0
[logger] /fs/microsd/log/2025-08-07/12_34_39.ulg,Opened full log file: /fs/microsd/log/2025-08-07/12_34_39.ulg,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
ms5611: no instance started (no device on bus?),"no gyro selected, using sensor_gyro_fifo:0 3407898","mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B",0
Takeoff detected,Disarming denied: not landed,Landing detected,0
"closed logfile, bytes written: 825901",Preflight: GPS Speed Accuracy too low,Armed by RC (switch),0
IO FW CRC match,Using non-standard baudrate: 420000,Crsf serial opened sucessfully,0
[cal] Battery connected,[cal] calibration done: esc,Battery 1: over voltage.,0
Logging FIFO data: increasing task prio and logging rate,"Node ID 1, bitrate 1000000","vehicle_command_ack lost, generation 48 -> 63",0
[cal] Connect battery now,[cal] Battery connected,[cal] calibration done: esc,0
Preflight Fail: Attitude failure (roll),Preflight Fail: No connection to the ground control station,GCS connection regained,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 2317 bytes, decoded 2317 bytes (INT32:49, FLOAT:62)",0
"no gyro selected, using sensor_gyro_fifo:0 4325386","mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",Starting CDC/ACM autostart,0
u-blox protocol version: 18.00,u-blox module: NEO-M8N-0,Preflight Fail: vertical velocity unstable,0
Preflight Fail: Flight termination active,Kill disengaged,Armed by RC,0
[logger] /fs/microsd/log/2025-08-07/08_39_10.ulg,Opened full log file: /fs/microsd/log/2025-08-07/08_39_10.ulg,Kill engaged,0
IO FW CRC match,Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 4325386",0
"Node ID 1, bitrate 1000000",u-blox protocol version: 18.00,u-blox module: NEO-M8N-0,0
Preflight: GPS Horizontal Pos Drift too high,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Armed by RC,Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/08_26_51.ulg,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 2317 bytes, decoded 2317 bytes (INT32:49, FLOAT:62)",0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 57600B","mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B",logger started (mode=all),0
no broadcasting address found,logger started (mode=all),"Node ID 1, bitrate 1000000",0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,"sending broadcast failed, errno: 114: Network is unreachable",0
Preflight Fail: Kill switch engaged,Error: ll40ls reset failure. Exiting!,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Error: ll40ls reset failure. Exiting!,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
[logger] /fs/microsd/log/2025-08-07/06_13_13.ulg,Opened full log file: /fs/microsd/log/2025-08-07/06_13_13.ulg,Executing Mission,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Disarmed by RC (switch),"0 (466953) EST:0 offset: [-0.210, 0.017, 0.012]->[-0.208, 0.024, 0.012] (full [-0.199, 0.046, 0.0","closed logfile, bytes written: 12732603",0
ms5611: no instance started (no device on bus?),"no gyro selected, using sensor_gyro_fifo:0 3407898","mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B",0
u-blox firmware version: HPG 1.32,u-blox protocol version: 27.31,u-blox module: ZED-F9P,0
and broadcast IP: 192.168.1.255,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
[cal] Blow into front of pitot without touching,"[cal] Create air pressure! (got -1, wanted: 50 Pa)",Preflight Fail: Airspeed too high,0
Opened full log file: /fs/microsd/log/2025-08-07/11_27_55.ulg,Executing Mission,Climb to 100.0 meters above home,0
ACC 0 (3407898) offset committed: [0.107 0.035 -0.236]->[0.178 0.005 -0.241]),Airspeed sensor Nr. 1 ASPD_SCALE updated: 1.0005 --> 1.0053,"closed logfile, bytes written: 13961866",0
Airspeed sensor Nr. 1 ASPD_SCALE updated: 1.0005 --> 1.0053,"closed logfile, bytes written: 13961866",Preflight Fail: heading estimate not stable,0
"closed logfile, bytes written: 13961866",Preflight Fail: heading estimate not stable,Armed by RC switch,0
Pilot took over using sticks,Takeoff detected,Landing detected,0
Preflight Fail: heading estimate not stable,Preflight Fail: Attitude failure (roll),Preflight Fail: Attitude failure (roll),0
"[cal] detected rest position, hold still...",Preflight Fail: Attitude failure (roll),[cal] right orientation detected,0
"[cal] Hold still, measuring right side",[cal] right side result: [-0.345 -9.780 -0.152],[cal] progress <51>,0
[cal] up orientation detected,"[cal] Hold still, measuring up side",[cal] up side result: [-0.046 0.302 9.759],0
Preflight Fail: Attitude failure (roll),"[cal] detected rest position, hold still...",[cal] back orientation detected,0
[cal] back orientation detected,[cal] back orientation detected,"[cal] Hold still, measuring back side",0
Preflight Fail: Vehicle is not in multicopter mode,Preflight Fail: Vehicle is not in multicopter mode,Preflight Fail: Vehicle is not in multicopter mode,0
"mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550",valid device required,Task start failed (-1),0
[logger] /fs/microsd/log/sess100/log100.ulg,Opened full log file: /fs/microsd/log/sess100/log100.ulg,Disarmed by landing,0
ACC 0 (6946826) offset committed: [0.057 -0.054 0.112]->[-0.012 -0.079 0.117]),"closed logfile, bytes written: 2719234",Preflight Fail: Strong magnetic interference,0
"closed logfile, bytes written: 1986570",Preflight: GPS Speed Accuracy too low,Preflight: GPS Speed Accuracy too low,0
Landing detected,Disarmed by landing,ACC 1 (2490378) offset committed: [0.077 -0.006 0.001]->[0.062 0.132 -0.021]),0
ACC 1 (2490378) offset committed: [0.077 -0.006 0.001]->[0.062 0.132 -0.021]),"closed logfile, bytes written: 2179601",Armed by Stick gesture,0
pmw3901: no instance started (no device on bus?),vl53l1x: no instance started (no device on bus?),"instance: 0, max rate: 100, default: 50, alt: 50",1
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,"instance: 0, max rate: 100, default: 50, alt: 50",0
IO FW CRC match,ist8310: no instance started (no device on bus?),pmw3901: no instance started (no device on bus?),0
spi3_thread : 80 free,can_thread : 144 free,exceptions : 128 free,0
idle : 80 free,i2c2_thread : 72 free,spi3_thread : 80 free,0
Opened full log file: /fs/microsd/log/2025-08-04/17_57_41.ulg,no broadcasting address found,Starting CDC/ACM autostart,0
Preflight Fail: Kill switch engaged,"using network interface eth0, IP: 10.0.0.3",with netmask: 255.255.255.0,0
"successfully created rt/fmu/out/failsafe_flags data writer, topic id: 93","successfully created rt/fmu/out/manual_control_setpoint data writer, topic id: 141","successfully created rt/fmu/out/position_setpoint_triplet data writer, topic id: 180",0
Preflight Fail: height estimate error,Preflight Fail: Kill switch engaged,Preflight Fail: velocity estimate error,0
"successfully created rt/fmu/out/vehicle_command_ack data writer, topic id: 246",[logger] /fs/microsd/log/2025-08-06/13_53_57.ulg,Opened full log file: /fs/microsd/log/2025-08-06/13_53_57.ulg,0
synchronized with time offset 1754507119847292us,successfully set system clock: Wed 2025-08-06 19:05:38,"successfully created rt/fmu/out/battery_status data writer, topic id: 19",0
"successfully created rt/fmu/out/vehicle_status data writer, topic id: 266","successfully created rt/fmu/out/distance_sensor data writer, topic id: 42","successfully created rt/fmu/out/sensor_optical_flow data writer, topic id: 212",0
"successfully created rt/fmu/out/vehicle_command_ack data writer, topic id: 246",[logger] /fs/microsd/log/2025-08-06/14_15_14.ulg,Opened full log file: /fs/microsd/log/2025-08-06/14_15_14.ulg,0
Preflight Fail: Kill switch engaged,sending FrSky SmartPort telemetry,"using network interface eth0, IP: 10.0.0.3",0
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Preflight Fail: Kill switch engaged,0
"successfully created rt/fmu/out/vehicle_optical_flow data writer, topic id: 262","successfully created rt/fmu/out/vehicle_optical_flow_vel data writer, topic id: 263","successfully created rt/fmu/out/rc_channels data writer, topic id: 190",0
Starting mavlink shell,Preflight Fail: Kill switch engaged,"using network interface eth0, IP: 10.0.0.3",0
Armed by external command,Start file log (type: full),[logger] /fs/microsd/log/2025-08-06/14_37_29.ulg,0
[logger] /fs/microsd/log/2025-08-06/14_37_29.ulg,Opened full log file: /fs/microsd/log/2025-08-06/14_37_29.ulg,"successfully created rt/fmu/out/vehicle_command_ack data writer, topic id: 246",0
"successfully created rt/fmu/out/distance_sensor data writer, topic id: 42","successfully created rt/fmu/out/sensor_optical_flow data writer, topic id: 212","successfully created rt/fmu/out/vehicle_optical_flow data writer, topic id: 262",0
"[cal] up side done, rotate to a different side",[cal] pending: back front left right,[cal] hold vehicle still on a pending side,0
"[cal] front side done, rotate to a different side",[cal] pending: back left right,[cal] hold vehicle still on a pending side,0
[cal] left side result: [-0.210 10.193 0.515],[cal] progress <102>,"[cal] left side done, rotate to a different side",0
"[cal] left side done, rotate to a different side","[cal] left side done, rotate to a different side",[cal] calibration done: accel,0
Opened full log file: /fs/microsd/log/2025-08-04/17_51_59.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
logger started (mode=all),"Node ID 1, bitrate 1000000",lpwork_thread : 612 free,0
"successfully created rt/fmu/out/rc_channels data writer, topic id: 190","successfully created rt/fmu/out/vehicle_local_position_setpoint data writer, topic id: 258",time sync converged,0
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Arming denied: throttle above center,Armed by external command,0
Opened full log file: /fs/microsd/log/2025-08-06/11_48_27.ulg,logger started (mode=all),"Node ID 1, bitrate 1000000",0
successfully set system clock: Wed 2025-08-06 16:47:25,"successfully created rt/fmu/out/battery_status data writer, topic id: 19","successfully created rt/fmu/out/estimator_status_flags data writer, topic id: 87",0
Start file log (type: full),"successfully created rt/fmu/out/vehicle_command_ack data writer, topic id: 246",[logger] /fs/microsd/log/2025-08-06/11_48_27.ulg,0
"successfully created rt/fmu/out/battery_status data writer, topic id: 19","successfully created rt/fmu/out/estimator_status_flags data writer, topic id: 87","successfully created rt/fmu/out/failsafe_flags data writer, topic id: 93",0
time sync converged,Preflight Fail: Kill switch engaged,Preflight Fail: height estimate error,0
Preflight Fail: height estimate error,Preflight Fail: Kill switch engaged,Preflight Fail: velocity estimate error,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,synchronized with time offset 1754494584673378us,0
GNSS Fix2 msg detected for ch 0; disabling Fix msg for this node,Mission rejected: the landing glide slope is steeper than the vehicle setting of 7.0 degre,"Reduce the glide slope, lower the entrance altitude 43 meters, or increase the landing app",0
Disarmed by landing,"1 (8944899) EST:0 offset: [0.332, -0.324, 0.222]->[0.335, -0.319, 0.222] (full [0.517, 0.156, 0.1","closed logfile, bytes written: 1416387",0
[logger] /fs/microsd/log/sess100/log100.ulg,Opened full log file: /fs/microsd/log/sess100/log100.ulg,selected parameter default file /fs/mtd_params,0
"successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 224","successfully created rt/fmu/out/vehicle_status data writer, topic id: 229","successfully created rt/fmu/out/vehicle_gps_position data writer, topic id: 215",0
IO FW CRC match,ist8310: no instance started (no device on bus?),"mode: Normal, data rate: 5760 B/s on /dev/ttyS5 @ 115200B",0
"successfully created rt/fmu/out/vehicle_attitude data writer, topic id: 206","successfully created rt/fmu/out/vehicle_gps_position data writer, topic id: 215","successfully created rt/fmu/out/vehicle_global_position data writer, topic id: 213",0
"successfully created rt/fmu/out/vehicle_global_position data writer, topic id: 213",Armed by external command,Start file log (type: full),0
data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
"successfully created rt/fmu/out/vehicle_control_mode data writer, topic id: 212","successfully created rt/fmu/out/vehicle_local_position data writer, topic id: 219","successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 224",0
Firmware Server Failed to Start -22,ms5611: no instance started (no device on bus?),"Mission #2 loaded, 75 WPs, curr: 1",0
stream UAT_COMMON_CONTROL_ACK not found,configure_streams_to_default() failed,"mode: Custom, data rate: 46080 B/s on /dev/ttyS1 @ 921600B",1
configure_streams_to_default() failed,"mode: OSD, data rate: 100000 B/s on udp port 14550 remote port 14550",stream UAT_COMMON_CONTROL_ACK not found,0
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Append uavcan channel is not open,setting PWM_AUX_OUT none,1
"instance: 0, max rate: 800, default: 50, alt: 400",sys identification init: loop:0.000000 amp:0.010000 t:120.000000,Init FMU Interface!!!!!!!!!!,0
"DEBUG_RC, filter_rc_input_roll, lead_lag_1st","DEBUG_RC,  --fc: 2.500000 hz,ratio = 2.500000","DEBUG_RC, filter_rc_input_pitch, lead_lag_1st",0
"DEBUG_RC, filter_rc_input_pitch, lead_lag_1st","DEBUG_RC,  --fc: 2.500000 hz","DEBUG_RC, filter_rc_input_yaw, lead_lag_1st",0
"DEBUG_RC,  --fc: 1.500000 hz","DEBUG_RC, filter_rc_input_throttle, lead_lag_1st","DEBUG_RC,  --fc: 5.000000 hz",0
"DEBUG_RC,  --fc: 5.000000 hz","DEBUG_MISSION, mission switch: 215 to 0","DEBUG_MISSION, mission 215 unsafe exit!",0
Opened full log file: /fs/microsd/log/sess003/log001.ulg,msgcode.uat  complete.,selected parameter default file /fs/mtd_params,0
"[cal] Hold still, measuring right side",[cal] right side result: [0.120 -9.684 0.280],[cal] progress <85>,0
[cal] pending: left,[cal] hold vehicle still on a pending side,"[cal] detected rest position, hold still...",0
[cal] left side result: [-0.210 10.193 0.515],[cal] progress <102>,"[cal] left side done, rotate to a different side",0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-04/17_51_59.ulg,Opened full log file: /fs/microsd/log/2025-08-04/17_51_59.ulg,0
exceptions : 80 free,lpwork_thread : 612 free,idle : 80 free,0
Disarmed by RC (switch),GYRO 1 (2490378) offset committed: [-0.002 -0.020 -0.005]->[-0.013 -0.018 -0.006]),"closed logfile, bytes written: 1243304",0
Disarming denied! Not landed,primary EKF changed 2 (unhealthy) -> 3,Kill-switch engaged,0
Opened full log file: /fs/microsd/log/2025-08-04/17_47_34.ulg,Takeoff detected,lpwork_thread : 612 free,0
Kill-switch disengaged,Landing detected,Disarmed by landing,0
Kill-switch engaged,Kill-switch disengaged,Kill-switch engaged,0
Parameter MAV_2_REMOTE_PRT not found.,Parameter MAV_2_UDP_PRT not found.,data manager file '/fs/microsd/dataman' size is 62560 bytes,1
lpwork_thread : 612 free,idle : 80 free,i2c2_thread : 72 free,0
exceptions : 80 free,lpwork_thread : 612 free,idle : 80 free,0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/2025-08-04/17_48_06.ulg,0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/sess101/log100.ulg,0
lpwork_thread : 612 free,idle : 80 free,i2c2_thread : 72 free,0
"BSON document size 2215 bytes, decoded 2215 bytes (INT32:56, FLOAT:52)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 4325386","mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B",0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,u-blox firmware version: SPG 4.04,0
"instance: 0, max rate: 100, default: 50, alt: 50","mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",logger started (mode=all),0
spi3_thread : 80 free,can_thread : 72 free,exceptions : 120 free,0
"closed logfile, bytes written: 897316",lpwork_thread : 612 free,idle : 80 free,0
[logger] /fs/microsd/log/2025-08-04/18_02_23.ulg,Opened full log file: /fs/microsd/log/2025-08-04/18_02_23.ulg,Disarmed by RC (switch),0
Using non-standard baudrate: 420000,Crsf serial opened sucessfully,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",0
Pilot took over using sticks,Disarming denied: not landed,Landing detected,0
Takeoff detected,Battery 1: over voltage. Land now!,Disarming denied: not landed,1
data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
logger started (mode=all),"Node ID 1, bitrate 1000000",Preflight Fail: height estimate not stable,0
Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,PWM_SERVO_GET_COUNT,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B",1
ist8310: no instance started (no device on bus?),"no gyro selected, using sensor_gyro_fifo:0 4325386","mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",0
Opened full log file: /fs/microsd/log/2025-08-07/10_24_42.ulg,Climb to 4.0 meters above home,selected parameter default file /fs/mtd_params,0
u-blox protocol version: 27.31,u-blox module: ZED-F9P,Preflight Fail: Yaw estimate error,0
data manager file '/fs/microsd/dataman' size is 68528 bytes,"no gyro selected, using sensor_gyro_fifo:0 6684690",Using non-standard baudrate: 420000,0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 128528 bytes,Already running on bus 1,0
"Node ID 1, bitrate 1000000",u-blox firmware version: SPG 4.04,u-blox protocol version: 32.01,0
"successfully created rt/fmu/out/sensor_gps data writer, topic id: 206","successfully created rt/fmu/out/vehicle_local_position data writer, topic id: 256","successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 261",0
time sync no longer converged,time sync converged,"successfully created rt/fmu/out/input_rc data writer, topic id: 126",0
"Node ID 1, bitrate 1000000",Logging FIFO data: increasing task prio and logging rate,Could not find parameter with name BAT4_V_EMPTY,0
Parameter RC_INPUT_PROTO not found.,data manager file '/fs/microsd/dataman' size is 68528 bytes,"no gyro selected, using sensor_gyro_fifo:0 6684690",0
"no gyro selected, using sensor_gyro_fifo:0 6684690",Using non-standard baudrate: 420000,Crsf serial opened sucessfully,0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B","mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B",Starting CDC/ACM autostart,0
Preflight Fail: height estimate not stable,Armed by RC (switch),Start file log (type: full),0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,ACC 2 (3407882) offset committed: [-0.033 -0.066 -0.057]->[-0.04INFO  [vehicle_imu] ACC 0 (3407906) offset committed: [0.076 -0.095 0.243]->[0.061 -0.045 0.297]),0
Preflight Fail: Flight termination active,ACC 2 (3407882) offset committed: [-0.033 -0.066 -0.057]->[-0.04INFO  [vehicle_imu] ACC 0 (3407906) offset committed: [0.076 -0.095 0.243]->[0.061 -0.045 0.297]),ACC 1 (3408162) offset committed: [0.062 -0.024 -0.024]->[0.055 0.031 0.005]),0
[cal] calibration started: 2 level,[cal] progress <0>,[cal] progress <20>,0
[cal] progress <0>,[cal] progress <20>,[cal] progress <40>,0
[cal] progress <20>,[cal] progress <40>,[cal] progress <60>,0
Preflight Fail: Yaw estimate error,u-blox NEO-F9P 1 HW: 00190000 SW: EXT CORE 1.00 (49f616),u-blox supports L5 Band,0
Mission item could not be set.,Disarmed by auto preflight disarming,"GIMBAL_MANAGER_PITCHYAW from 1/1 denied, in control: 0/0",0
